#M1 M3 xsec[pb] uncertainty[pb]
1200 1350 0.000858696317395 5.87205206871e-05
1200 1400 0.000709924856014 4.94783929562e-05
1200 1450 0.000690269398628 4.99072772012e-05
1200 1500 0.000607111118345 4.4868200555e-05
1200 1550 0.000534624821028 4.06212482533e-05
1200 1600 0.000455647127155 3.52264964522e-05
1200 1650 0.000425931226021 3.42679009526e-05
1200 1700 0.000356126418673 2.9199898875e-05
1200 1750 0.0003244473938 2.75700725635e-05
1200 1800 0.000286934377813 2.50777579044e-05
1200 1850 0.000259260246455 2.34096868045e-05
1200 1900 0.000228390629265 2.12067346257e-05
1200 1950 0.000203098041524 1.95345147889e-05
1200 2000 0.000177797261085 1.77858345093e-05
1200 2050 0.000160327584586 1.66025554223e-05
1200 2100 0.000141665635957 1.52253187042e-05
1200 2150 0.000125790059095 1.40445985153e-05
1200 2200 0.000111743309596 1.29409614725e-05
1200 2250 0.000100443782626 1.21211373221e-05
1200 2300 8.91750583838e-05 1.16129726003e-05
1200 2350 7.93526642328e-05 1.03858506718e-05
1200 2400 7.05770475593e-05 9.66485589552e-06
1200 2450 6.25821698919e-05 8.94720237017e-06
1200 2500 5.58949754408e-05 8.33849343397e-06
1250 1000 0.00181796588873 0.000107000780543
1250 1050 0.00156574154798 9.4635945007e-05
1250 1100 0.00135817722662 8.41307612316e-05
1250 1150 0.00128585105542 8.20666371911e-05
1250 1200 0.00112102898555 7.33475424557e-05
1250 1250 0.000980681774742 6.58833860299e-05
1250 1300 0.000859684484582 5.89079384206e-05
1250 1350 0.000755118288223 5.3096015017e-05
1250 1400 0.000663915353865 4.78590999892e-05
1250 1450 0.000606598085643 4.49292127673e-05
1250 1500 0.000515810859052 3.91230857729e-05
1250 1550 0.000470592817083 3.67440892927e-05
1250 1600 0.000402115283544 3.20144391798e-05
1250 1650 0.000366494231224 3.02360504902e-05
1250 1700 0.000331212659286 2.81298087431e-05
1250 1750 0.000287902747206 2.52317264529e-05
1250 1800 0.000253635517956 2.28259061266e-05
1250 1850 0.000224567678134 2.09858804625e-05
1250 1900 0.000202757441908 1.97749071996e-05
1250 1950 0.000178878459308 1.7877256587e-05
1250 2000 0.000160877686011 1.66728332137e-05
